dataset,source,column,dtype,n_unique,min_observed,max_observed,constraint_type_SUGGESTED,constraint_type_CONFIRMED,auto_note,kishore_note
Airbnb,cleanml,Bathrooms,float64,10,0.0,9.0,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",count of bathrooms in listing — non-negative by definition of a count
Airbnb,cleanml,Bedrooms,float64,10,1.0,10.0,no_negative,no_negative,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",count of bedrooms in listing — non-negative by definition of a count
Airbnb,cleanml,Beds,float64,18,0.0,20.0,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",count of beds in listing — non-negative by definition of a count
Airbnb,cleanml,LocationName,str,276,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
Airbnb,cleanml,NumGuests,float64,16,1.0,16.0,no_negative,no_negative,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","guest capacity, a count — non-negative by definition of a count"
Airbnb,cleanml,NumReviews,float64,432,2.0,1099.0,no_negative,no_negative,"observed min=2 >= 0, no clear name signal — weak guess, please confirm",count of reviews received — non-negative by definition of a count
Airbnb,cleanml,Price,float64,504,10.0,999.0,no_negative,no_negative,name suggests non-negative quantity; observed min=10 >= 0,"nightly listing price in USD — monetary amount, non-negative by definition"
Airbnb,cleanml,Rating,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","binary flag in this file (0/1) despite ""Rating"" name — treat as categorical, not a 1-5 rating scale"
Airbnb,cleanml,latitude,float64,24631,25.45269,47.74276,no_negative,"range:[-90,90]","observed min=25.5 >= 0, no clear name signal — weak guess, please confirm","true constraint is bounded range; happens to be positive because sample is US-only, that is a coverage artifact not the real-world law"
Airbnb,cleanml,longitude,float64,24395,-122.54459,-70.98335,none,"range:[-180,180]","negative values present (min=-123) — verify: real negative quantity, or undocumented sentinel?","true constraint is bounded range, not no_negative; negative values (western hemisphere) are legitimate for US data, not sentinel"
Airbnb,cleanml,zipcode,int64,362,2108,98177,no_negative,categorical,"observed min=2.11e+03 >= 0, no clear name signal — weak guess, please confirm","ZIP code is an identifier/geographic key, not an ordinal non-negative quantity — no_negative is trivially true but arithmetically meaningless (should not be treated as a magnitude)"
Airbnb,cleanml,pop2016,float64,361,69.0,114602.0,no_negative,no_negative,"observed min=69 >= 0, no clear name signal — weak guess, please confirm","ACS population estimate for tract/zip (fractional because it is a survey estimate, still non-negative) — non-negative by definition of a count"
Airbnb,cleanml,pop2010,float64,358,84.0,109931.0,no_negative,no_negative,"observed min=84 >= 0, no clear name signal — weak guess, please confirm",Census population count/estimate for tract/zip — non-negative by definition of a count
Airbnb,cleanml,pop2000,int64,362,1,106154,no_negative,no_negative,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",Census population count for tract/zip — non-negative by definition of a count
Airbnb,cleanml,cost_living_index (US avg. = 100),float64,274,94.9,197.8,no_negative,no_negative,name suggests non-negative quantity; observed min=94.9 >= 0,"cost-of-living index anchored at 100=US average — conventionally non-negative (a cost index of 0 would mean zero cost, theoretically possible but not literally negative); no fixed upper bound so no_negative rather than a range"
Airbnb,cleanml,land_area (sq.mi.),float64,93,0.0,41.0,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",geographic area — non-negative by definition of area
Airbnb,cleanml,water_area (sq.mi.),float64,23,0.0,5.2,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",geographic area — non-negative by definition of area
Airbnb,cleanml,pop_density (people per mile),int64,360,51,155635,no_negative,no_negative,"observed min=51 >= 0, no clear name signal — weak guess, please confirm","population density = population / area, ratio of two non-negative quantities, non-negative by construction"
Airbnb,cleanml,number of males,int64,360,49,61376,no_negative,no_negative,"observed min=49 >= 0, no clear name signal — weak guess, please confirm",population subgroup count — non-negative by definition of a count
Airbnb,cleanml,number of females,int64,362,0,56899,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",population subgroup count — non-negative by definition of a count
Airbnb,cleanml,prop taxes paid 2016,float64,16,0.2,2.3,no_negative,no_negative,"observed min=0.2 >= 0, no clear name signal — weak guess, please confirm","property tax rate (% of assessed value) — non-negative by definition; unlike a bounded percentage of a whole, a tax rate has no fixed theoretical upper bound, so no_negative (not range:[0,100]) is the correct constraint"
Airbnb,cleanml,median taxes (with mortgage,float64,323,269.0,10587.0,no_negative,no_negative,name suggests non-negative quantity; observed min=269 >= 0,"median annual property tax, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median taxes (no mortgage),float64,325,281.0,10810.0,no_negative,no_negative,name suggests non-negative quantity; observed min=281 >= 0,"median annual property tax, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median house value,float64,345,53720.0,2219817.0,no_negative,no_negative,"observed min=5.37e+04 >= 0, no clear name signal — weak guess, please confirm","median home value, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median houshold income,float64,358,16309.0,260372.0,no_negative,no_negative,name suggests non-negative quantity; observed min=1.63e+04 >= 0,"Census tract median household income statistic — non-negative as published (unlike individual PINCP, this is an aggregate statistic which the Census does not report as negative)"
Airbnb,cleanml,median monthly owner costs (with mortgage),float64,322,759.0,3987.0,no_negative,no_negative,name suggests non-negative quantity; observed min=759 >= 0,"median monthly owner cost, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median monthly owner costs (no mortgage),float64,271,234.0,1513.0,no_negative,no_negative,name suggests non-negative quantity; observed min=234 >= 0,"median monthly owner cost, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median gross rent,float64,320,443.0,3452.0,no_negative,no_negative,"observed min=443 >= 0, no clear name signal — weak guess, please confirm","median gross rent, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,median asking price for vacant for-sale home/condo,float64,307,112123.0,7040133.0,no_negative,no_negative,name suggests non-negative quantity; observed min=1.12e+05 >= 0,"median asking price, USD (Census tract statistic) — monetary amount, non-negative by definition"
Airbnb,cleanml,unemployment (%),float64,117,0.4,19.9,no_negative,"range:[0,100]","observed min=0.4 >= 0, no clear name signal — weak guess, please confirm","percentage — bounded [0,100], stronger constraint than plain no_negative"
Airbnb,cleanml,Number of Homes,float64,361,27.6,45840.8,no_negative,no_negative,"observed min=27.6 >= 0, no clear name signal — weak guess, please confirm","ACS housing-unit estimate (fractional survey estimate, still non-negative) — non-negative by definition of a count"
Airbnb,cleanml,Count of Abnb,int64,172,1,4143,no_negative,no_negative,name suggests non-negative quantity; observed min=1 >= 0,count of Airbnb listings per zipcode — non-negative by definition of a count
Airbnb,cleanml,Density of Abnb (%),float64,361,0.003440114,330.488194,no_negative,no_negative,"observed min=0.00344 >= 0, no clear name signal — weak guess, please confirm","density = count of listings / population, a ratio of two non-negative quantities, so non-negative by construction. The ""(%)"" in the column name is misleading — observed max=330.5 confirms this is NOT a proper bounded [0,100] percentage (likely per-capita density rescaled by an arbitrary constant); do not apply a range:[0,100] constraint here despite the name. no_negative is the correct and fully resolvable constraint."
Airbnb,cleanml,Average Abnb Price (by zipcode),float64,359,16.0,347.0,no_negative,no_negative,name suggests non-negative quantity; observed min=16 >= 0,"zipcode-level average nightly price, USD — monetary amount, non-negative by definition"
Airbnb,cleanml,Average NumReviews (by zipcode),float64,345,4.0,206.0,no_negative,no_negative,name suggests non-negative quantity; observed min=4 >= 0,zipcode-level average of a count — average of non-negative values is non-negative — non-negative by definition of a count
Airbnb,cleanml,Average Rating (by zipcode),float64,240,4.25,5.0,no_negative,"range:[1,5]",name suggests non-negative quantity; observed min=4.25 >= 0,"Airbnb rating scale is bounded [1,5] by platform design — stronger constraint than plain no_negative"
Airbnb,cleanml,Average Number of Bathrooms (by zipcode),float64,249,0.344827586,3.043478261,no_negative,no_negative,name suggests non-negative quantity; observed min=0.345 >= 0,zipcode-level average of a count — non-negative by definition of a count
Airbnb,cleanml,Average Number of Bedrooms (by zipcode),float64,259,0.0,3.333333333,no_negative,no_negative,name suggests non-negative quantity; observed min=0 >= 0,zipcode-level average of a count — non-negative by definition of a count
Airbnb,cleanml,Average Number of Beds (by zipcode),float64,292,1.0,6.0,no_negative,no_negative,name suggests non-negative quantity; observed min=1 >= 0,zipcode-level average of a count — non-negative by definition of a count
Airbnb,cleanml,Average Number of Guests (by zipcode),float64,292,1.0,6.0,no_negative,no_negative,name suggests non-negative quantity; observed min=1 >= 0,zipcode-level average of a count — non-negative by definition of a count
EEG,cleanml,AF3,float64,548,1030.77,309231.0,no_negative,none,"observed min=1.03e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,F7,float64,452,2830.77,7804.62,no_negative,none,"observed min=2.83e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,F3,float64,345,1040.0,6880.51,no_negative,none,"observed min=1.04e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,FC5,float64,312,2453.33,642564.0,no_negative,none,"observed min=2.45e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,T7,float64,285,2089.74,6474.36,no_negative,none,"observed min=2.09e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,P7,float64,330,2768.21,362564.0,no_negative,none,"observed min=2.77e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,O1,float64,290,2086.15,567179.0,no_negative,none,"observed min=2.09e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,O2,float64,294,4567.18,7264.1,no_negative,none,"observed min=4.57e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,P8,float64,304,1357.95,265641.0,no_negative,none,"observed min=1.36e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,T8,float64,346,1816.41,6674.36,no_negative,none,"observed min=1.82e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,FC6,float64,419,3273.33,6823.08,no_negative,none,"observed min=3.27e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,F4,float64,343,2257.95,7002.56,no_negative,none,"observed min=2.26e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
