dataset,source,column,dtype,n_unique,min_observed,max_observed,constraint_type_SUGGESTED,constraint_type_CONFIRMED,auto_note,kishore_note
Airbnb,cleanml,Bathrooms,float64,10,0.0,9.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Bedrooms,float64,10,1.0,10.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Beds,float64,18,0.0,20.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,LocationName,str,276,,,categorical,,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range",
Airbnb,cleanml,NumGuests,float64,16,1.0,16.0,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,NumReviews,float64,432,2.0,1099.0,no_negative,,"observed min=2 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Price,float64,504,10.0,999.0,no_negative,,name suggests non-negative quantity; observed min=10 >= 0,
Airbnb,cleanml,Rating,int64,2,0,1,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,latitude,float64,24631,25.45269,47.74276,no_negative,,"observed min=25.5 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,longitude,float64,24395,-122.54459,-70.98335,none,,"negative values present (min=-123) — verify: real negative quantity, or undocumented sentinel?",
Airbnb,cleanml,zipcode,int64,362,2108,98177,no_negative,,"observed min=2.11e+03 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2016,float64,361,69.0,114602.0,no_negative,,"observed min=69 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2010,float64,358,84.0,109931.0,no_negative,,"observed min=84 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop2000,int64,362,1,106154,no_negative,,"observed min=1 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,cost_living_index (US avg. = 100),float64,274,94.9,197.8,no_negative,,name suggests non-negative quantity; observed min=94.9 >= 0,
Airbnb,cleanml,land_area (sq.mi.),float64,93,0.0,41.0,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,water_area (sq.mi.),float64,23,0.0,5.2,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,pop_density (people per mile),int64,360,51,155635,no_negative,,"observed min=51 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,number of males,int64,360,49,61376,no_negative,,"observed min=49 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,number of females,int64,362,0,56899,no_negative,,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,prop taxes paid 2016,float64,16,0.2,2.3,no_negative,,"observed min=0.2 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median taxes (with mortgage,float64,323,269.0,10587.0,no_negative,,name suggests non-negative quantity; observed min=269 >= 0,
Airbnb,cleanml,median taxes (no mortgage),float64,325,281.0,10810.0,no_negative,,name suggests non-negative quantity; observed min=281 >= 0,
Airbnb,cleanml,median house value,float64,345,53720.0,2219817.0,no_negative,,"observed min=5.37e+04 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median houshold income,float64,358,16309.0,260372.0,no_negative,,name suggests non-negative quantity; observed min=1.63e+04 >= 0,
Airbnb,cleanml,median monthly owner costs (with mortgage),float64,322,759.0,3987.0,no_negative,,name suggests non-negative quantity; observed min=759 >= 0,
Airbnb,cleanml,median monthly owner costs (no mortgage),float64,271,234.0,1513.0,no_negative,,name suggests non-negative quantity; observed min=234 >= 0,
Airbnb,cleanml,median gross rent,float64,320,443.0,3452.0,no_negative,,"observed min=443 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,median asking price for vacant for-sale home/condo,float64,307,112123.0,7040133.0,no_negative,,name suggests non-negative quantity; observed min=1.12e+05 >= 0,
Airbnb,cleanml,unemployment (%),float64,117,0.4,19.9,no_negative,,"observed min=0.4 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Number of Homes,float64,361,27.6,45840.8,no_negative,,"observed min=27.6 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Count of Abnb,int64,172,1,4143,no_negative,,name suggests non-negative quantity; observed min=1 >= 0,
Airbnb,cleanml,Density of Abnb (%),float64,361,0.003440114,330.488194,no_negative,,"observed min=0.00344 >= 0, no clear name signal — weak guess, please confirm",
Airbnb,cleanml,Average Abnb Price (by zipcode),float64,359,16.0,347.0,no_negative,,name suggests non-negative quantity; observed min=16 >= 0,
Airbnb,cleanml,Average NumReviews (by zipcode),float64,345,4.0,206.0,no_negative,,name suggests non-negative quantity; observed min=4 >= 0,
